Nom activité,Descriptif rapide,Quartier,Adresse,Coordos GPS,Type,Temps visite,Ok planificateur ?,Saison(s),Points,Comment s'y rendre,Tarif standard,Accessibilité,Mots-clés
Le Grand Marché,,,"section M, 250 Bd Wilfrid-Hamel, Québec, QC G1L 5A7, Canada",46.8286557 -71.246202,Alimentaire,,,,,,,,
Maison Smith - Rue St Jean,,,"1141 rue Saint-Jean, Ville de Québec, QC, G1R 1S3",46.81406345135135 -71.21013642702702,Restaurant / bar,,,,,,,,
Maison Smith - Place Royale,,,"Escalier du Passage du roi, La Cité-Limoilou, Québec, G1K 4G9, Québec, Canada",46.8131617 -71.2029826,Restaurant / bar,,,,,,,,
Maison Smith - Ile d'Orléans,,,"8700 Chemin Royal, Sainte-Pétronille, QC, G0A 4C0",46.86128223304784 -71.1160335543933,Restaurant / bar,,,,,,,,
Maison Smith - Charlesbourg,,,"7685 1re Av., Québec, QC G1H 2Y1, Canada",46.85886539675946 -71.26874988038806,Restaurant / bar,,,,,,,,
Maison Smith - Des Jardins,,,"9 rue des Jardins, Ville de Québec, QC, G1R 4L4",46.7934931 -71.2322897,Restaurant / bar,,,,,,,,
Maison Smith - Limoilou,,,"201 3e avenue, Limoilou, QC, G1L 2V7",46.821222 -71.2251616,Restaurant / bar,,,,,,,,
Maison Smith - Montcalm,,,"1015 avenue Belvédère, Québec, QC, G1S 1S7",46.79686716842105 -71.23899549473684,Restaurant / bar,,,,,,,,
Maison Smith - Sillery,,,"2012 Chemin Saint-Louis, Québec, QC, G1T 1P1",46.778997365409474 -71.25016392585859,Restaurant / bar,,,,,,,,
Maison Smith - Ste Foy,,,"2330 Ch Ste-Foy, Suite 109, G1V 1S5",46.78670747947266 -71.27977094669303,Restaurant / bar,,,,,,,,
Maison Smith - René Levesque,,,"900 boulevard René Lévesque Est, place Québec",46.80983069022731 -71.21625650711863,Restaurant / bar,,,,,,,,
Maison Smith - Plaines d'Abraham,,,"15 avenue George VI, Québec, G1R 2L3",46.800129630133036 -71.22071722491025,Restaurant / bar,,,,,,,,
Halles Cartier,,,"1191 Av. Cartier, Québec, QC G1R 2S9, Canada",46.8026727 -71.224272,Alimentaire,,,,,,,,
Gare du Palais,,,"450 Rue de la Gare-du-Palais, Québec, QC G1K 3X2, Canada",46.8178235 -71.21385864524129,Info - Mobilité,,,,,,,,
Nordique spa Stoneham,,,"747 Rue Jacques Cartier N, Stoneham-et-Tewkesbury, QC G3C 1X7, Canada",47.060183128743155 -71.42929942537889,Spa / détente,,,,,,,,
La Barberie,,,"310 Rue Saint-Roch, Québec, QC G1K 6S2, Canada",46.8180085 -71.2180737,Restaurant / bar,,,,,,,,
Site Traditionnel Huron Onhoüa Chetek8e,,,"575 Rue Chef Stanislas Koska, Wendake, QC G0A 4V0, Canada",46.8699560717352 -71.36681730539799,Patrimoine historique,,,,,,,,
